"","question_text","answer_text","questionId","question_type","question_file","answer_file"
"241","What state's motto is """"friendship"""" since that's supposed to have been the meaning of the state's Caddo Indian name?","Texas","GE_16","Geography","109_q.wav","109_a.wav"
"242","In what state were """"My Governor Can Beat Up Your Governor"""" bumper stickers popular beginning in 1998?","Minnesota","GE_17","Geography","114_q.wav","114_a.wav"
"243","Until 2007, what was the only country in the world not to have registered it's own internet domain suffix, """".kp""""?","North Korea","GE_18","Geography","091_q.wav","091_a.wav"
"244","Less than 0.5% of Earth's fresh water is held in what naturally occuring flowing watercourse?","Rivers","GE_19","Geography","285_q.wav","285_a.wav"
"245","What is sinology the study of?","China","GE_20","Geography","031_q.wav","031_a.wav"
"246","What river runs through Dublin?","Liffey","GE_21","Geography","129_q.wav","129_a.wav"
"247","The point on land closest to the North Pole belongs to what nation?","Denmark","GE_22","Geography","163_q.wav","163_a.wav"
"248","What U.S. state has the slogan """"Native America"""" on its license plates?","Oklahoma","GE_23","Geography","189_q.wav","189_a.wav"
"249","What Blue Ridge peak in North Carolina is the highest point east of the Mississippi?","Mount Mitchell","GE_24","Geography","022_q.wav","022_a.wav"
"250","The former penal colony of Devil's Island is located off the coast of what country?","French Guiana","GE_25","Geography","223_q.wav","223_a.wav"
"251","What African country is the only member of the Commonwealth of Nations that was never part of the British Empire?","Mozambique","GE_26","Geography","137_q.wav","137_a.wav"
"252","What's the second most populated continent on Earth?","Africa","GE_27","Geography","088_q.wav","088_a.wav"
"253","What river runs through Melbourne?","Yarra","GE_28","Geography","084_q.wav","084_a.wav"
"254","In which city were the 1982 Commonwealth Games hosted?","Brisbane","GE_29","Geography","113_q.wav","113_a.wav"
"255","What is the smallest country in Africa?","The Gambia","GE_30","Geography","280_q.wav","280_a.wav"
"256","Of the world's seven most populous islands, what's the only one not in Asia?","Great Britain","GE_31","Geography","180_q.wav","180_a.wav"
"257","What Ukrainian city hosted the last World War II summit of the """"Big Three""""?","Yalta","GE_32","Geography","134_q.wav","134_a.wav"
"258","Excepting Alaska and Louisiana, what US state is divided into the fewest counties, with only three?","Delaware","GE_33","Geography","175_q.wav","175_a.wav"
"259","What Pacific inlet was called """"Stingray Bay"""" until Captain Cook renamed it for """"the great quantity of plants"""" his scientists had discovered?","Botany Bay","GE_34","Geography","061_q.wav","061_a.wav"
"260","In which country would you find the mouth of the Rhine River?","The Netherlands","GE_35","Geography","042_q.wav","042_a.wav"
"261","In which city was Bob Crane killed?","Scottsdale, Arizona","GE_36","Geography","090_q.wav","090_a.wav"
"262","What's the US island with the largest population?","Long Island","GE_37","Geography","271_q.wav","271_a.wav"
"263","What country borders both of the world's only two nations with square flags?","Italy","GE_38","Geography","266_q.wav","266_a.wav"
"264","What state depicts Delicate Arch on its license plates?","Utah","GE_39","Geography","284_q.wav","284_a.wav"
"265","What was the world's most populous city before Tokyo surpassed it in the 1960s?","New York City","GE_40","Geography","013_q.wav","013_a.wav"
"266","Three-fourths of Western Australia's population lives in what city?","Perth","GE_41","Geography","059_q.wav","059_a.wav"
"267","What African capital city is named after a U.S. president?","Monrovia","GE_42","Geography","062_q.wav","062_a.wav"
"268","Where is the longest suspension bridge?","Japan","GE_43","Geography","078_q.wav","078_a.wav"
"269","What river runs through Boston?","Charles","GE_44","Geography","035_q.wav","035_a.wav"
"270","Which ocean is the smallest of them all?","Arctic Ocean","GE_45","Geography","046_q.wav","046_a.wav"
"271","Why is Oneida Lake, near Syracuse, New York, sometimes called """"the thumb""""?","It sits beside the Finger Lakes","GE_46","Geography","085_q.wav","085_a.wav"
"272","What nation is home to the only tunnel in the world longer than the Channel?","Japan","GE_47","Geography","068_q.wav","068_a.wav"
"273","What city's harbor is overlooked by Victoria Peak?","Hong Kong","GE_48","Geography","025_q.wav","025_a.wav"
"274","What desert is home to the Ahaggar and Tibesti Mountains?","Sahara","GE_49","Geography","036_q.wav","036_a.wav"
"275","What is the capital of New Zealand?","Wellington","GE_50","Geography","152_q.wav","152_a.wav"
"276","What river runs through Vienna?","Danube","GE_51","Geography","099_q.wav","099_a.wav"
"277","What country's highest decoration is the Most Exalted Order of the White Elephant?","Thailand","GE_52","Geography","238_q.wav","238_a.wav"
"278","In which country would you find the mouth of the Colorado River?","Mexico","GE_53","Geography","143_q.wav","143_a.wav"
"279","What range contains the world's highest mountains not located in Asia?","The Andes","GE_54","Geography","179_q.wav","179_a.wav"
"280","What river runs through Cleveland?","Cuyahoga","GE_55","Geography","148_q.wav","148_a.wav"
"281","Where would you find the 89,000-foot peak Olympus Mons?","Mars","GE_56","Geography","017_q.wav","017_a.wav"
"282","What distinction is usually claimed to belong to Gangkhar Puensum, a 24,000-foot peak in Bhutan?","The highest unclimbed mountain in the world","GE_57","Geography","243_q.wav","243_a.wav"
"283","What is the longest cave system on Earth?","Mammoth Cave","GE_58","Geography","217_q.wav","217_a.wav"
"284","Which dam is the world's biggest hydroelectric facility?","The Three Gorges Dam on the Yangtze River","GE_59","Geography","207_q.wav","207_a.wav"
"285","What is the Earth's biggest earthquake belt?","The rim of the Pacific Ocean, also called the """"Ring of Fire""""","GE_60","Geography","127_q.wav","127_a.wav"
"286","Where is the saltiest landlocked body of water located?","The Gaet'ale Pond in Afar, Ethiopia","GE_61","Geography","281_q.wav","281_a.wav"
"287","On which continent is the most languages spoken (2,301 languages)?","Asia","GE_62","Geography","269_q.wav","269_a.wav"
"288","Where is the Juan de Fuca Plate, one of the Earth's smallest tectonic plates, located?","Canada","GE_63","Geography","229_q.wav","229_a.wav"
"289","What is the capital of the State of Washington, United States?","Olympia","GE_64","Geography","041_q.wav","041_a.wav"
"290","What is the capital of Senegal?","Dakar","GE_65","Geography","142_q.wav","142_a.wav"
"291","Which country has the abbreviation """"CH""""?","Switzerland","GE_66","Geography","220_q.wav","220_a.wav"
"292","What country has the most timezones?","France","GE_67","Geography","014_q.wav","014_a.wav"
"293","What is the smallest country in the world?","Vatican City","GE_68","Geography","274_q.wav","274_a.wav"
"294","What is the least populus city in the world?","Vatican City","GE_69","Geography","157_q.wav","157_a.wav"
"295","What is the country with the largest number of Muslims overall?","Indonesia","GE_70","Geography","287_q.wav","287_a.wav"
"296","What is the capital of Mauritius?","Port Louis","GE_71","Geography","106_q.wav","106_a.wav"
"297","Which continent is in all four hemispheres?","Africa","GE_72","Geography","290_q.wav","290_a.wav"
"298","What is The Netherlands also called?","Holland","GE_73","Geography","265_q.wav","265_a.wav"
"299","Which country has the longest coastline in the world?","Canada","GE_74","Geography","237_q.wav","237_a.wav"
"300","In the US, which is the only state to have a one syllable name?","Maine","GE_75","Geography","001_q.wav","001_a.wav"
